english,santhali_devanagari,source,verified
abatement,कोम,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
abbreviation,खाटोते,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
abduction,आतक्‌िर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
abeyance,विदाय़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
ability,जोगमान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
ab initio,एतोहोप ् खोन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
able,जोगमान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
abnormal,1. खेपा 2. ओसाधारण,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
abolition,1. मुचात़ 2. मेटाव 3. इंड़िच ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
abolition of post,2. हुदा ़ मच ु ात़ ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
above mentioned,चेतान रे ओलाकान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
above quoted,चेतान रे उदूः आकान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
above said,चेतान रे मेनाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
absence,1. बाङसेटेराकान 2. ओभाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
absentee,बाङसेटेरोः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
absenteeism,बाङसेटेरोः रे नाः सोभाव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
absentee statement,बाङसेटेरोः रे नाः बिबरोन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
absolute,1. ठावका ़ ़ 2. पेरेच ् 3. परू ा ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
absolute monopoly,ठावका ़ ़ आ़इदारी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
absolute ownership,ठावका ़ ़ मालिक ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
absorption,सासेत,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
abstract,1. सारतेत ् 2. मुलतेत ्,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
abstract statement,सारतेत ् रे नाः बिबरोन,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
absurd,1. आनखा 2. आथावड़ी ़,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
abundance,1. बाड़ली 2. ढे रकाचते,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
abuse of power,दाड़े रे नाः बाड़िच ् बेभार,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
abusive language,1. बाड़िच ् रोड़ 2. एगेर,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
academic,1. अकादे मी 2. सेचेत ् आसड़ा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
academic discussion,सेचेत ् चारचा,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
academic leave,सेचेत ् छुटी,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
academic qualification,सेचेत ् लेकमान,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
academic record,सेचेत ् रे कोड,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
accede,बाताव,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
accept,बातावाकावाः,Bharatavani / CSTT Fundamental Administrative Terminology (2015),source_document
